Artist,Song Title,Youtube Link
The Weeknd,Blinding Lights,https://www.youtube.com/results?search_query=The+Weeknd+Blinding+Lights
The Weeknd,Save Your Tears,https://www.youtube.com/results?search_query=The+Weeknd+Save+Your+Tears
The Weeknd,Heartless,https://www.youtube.com/results?search_query=The+Weeknd+Heartless
Olivia Rodrigo,Drivers License,https://www.youtube.com/results?search_query=Olivia+Rodrigo+Drivers+License
Olivia Rodrigo,Good 4 U,https://www.youtube.com/results?search_query=Olivia+Rodrigo+Good+4+U
Olivia Rodrigo,Deja Vu,https://www.youtube.com/results?search_query=Olivia+Rodrigo+Deja+Vu
Olivia Rodrigo,Vampire,https://www.youtube.com/results?search_query=Olivia+Rodrigo+Vampire
Dua Lipa,Levitating,https://www.youtube.com/results?search_query=Dua+Lipa+Levitating
Dua Lipa,Don't Start Now,https://www.youtube.com/results?search_query=Dua+Lipa+Don%27t+Start+Now
Dua Lipa,Physical,https://www.youtube.com/results?search_query=Dua+Lipa+Physical
Harry Styles,As It Was,https://www.youtube.com/results?search_query=Harry+Styles+As+It+Was
Harry Styles,Watermelon Sugar,https://www.youtube.com/results?search_query=Harry+Styles+Watermelon+Sugar
Harry Styles,Late Night Talking,https://www.youtube.com/results?search_query=Harry+Styles+Late+Night+Talking
Doja Cat,Say So,https://www.youtube.com/results?search_query=Doja+Cat+Say+So
Doja Cat,Kiss Me More,https://www.youtube.com/results?search_query=Doja+Cat+Kiss+Me+More
Doja Cat,Woman,https://www.youtube.com/results?search_query=Doja+Cat+Woman
Doja Cat,Paint the Town Red,https://www.youtube.com/results?search_query=Doja+Cat+Paint+the+Town+Red
Lil Nas X,Old Town Road,https://www.youtube.com/results?search_query=Lil+Nas+X+Old+Town+Road
Lil Nas X,Montero (Call Me by Your Name),https://www.youtube.com/results?search_query=Lil+Nas+X+Montero+%28Call+Me+by+Your+Name%29
Lil Nas X,Industry Baby,https://www.youtube.com/results?search_query=Lil+Nas+X+Industry+Baby
Miley Cyrus,Flowers,https://www.youtube.com/results?search_query=Miley+Cyrus+Flowers
Miley Cyrus,Midnight Sky,https://www.youtube.com/results?search_query=Miley+Cyrus+Midnight+Sky
SZA,Kill Bill,https://www.youtube.com/results?search_query=SZA+Kill+Bill
SZA,Snooze,https://www.youtube.com/results?search_query=SZA+Snooze
SZA,Good Days,https://www.youtube.com/results?search_query=SZA+Good+Days
SZA,Love Galore,https://www.youtube.com/results?search_query=SZA+Love+Galore
Taylor Swift,Anti-Hero,https://www.youtube.com/results?search_query=Taylor+Swift+Anti-Hero
Taylor Swift,Cruel Summer,https://www.youtube.com/results?search_query=Taylor+Swift+Cruel+Summer
Taylor Swift,Cardigan,https://www.youtube.com/results?search_query=Taylor+Swift+Cardigan
Taylor Swift,Willow,https://www.youtube.com/results?search_query=Taylor+Swift+Willow
