Artist,Song Title,Youtube Link
Nirvana,Smells Like Teen Spirit,https://www.youtube.com/results?search_query=Nirvana+Smells+Like+Teen+Spirit
Nirvana,Come as You Are,https://www.youtube.com/results?search_query=Nirvana+Come+as+You+Are
Nirvana,Heart-Shaped Box,https://www.youtube.com/results?search_query=Nirvana+Heart-Shaped+Box
Pearl Jam,Alive,https://www.youtube.com/results?search_query=Pearl+Jam+Alive
Pearl Jam,Jeremy,https://www.youtube.com/results?search_query=Pearl+Jam+Jeremy
Pearl Jam,Even Flow,https://www.youtube.com/results?search_query=Pearl+Jam+Even+Flow
Soundgarden,Black Hole Sun,https://www.youtube.com/results?search_query=Soundgarden+Black+Hole+Sun
Alice in Chains,Man in the Box,https://www.youtube.com/results?search_query=Alice+in+Chains+Man+in+the+Box
Stone Temple Pilots,Plush,https://www.youtube.com/results?search_query=Stone+Temple+Pilots+Plush
Stone Temple Pilots,Interstate Love Song,https://www.youtube.com/results?search_query=Stone+Temple+Pilots+Interstate+Love+Song
Red Hot Chili Peppers,Under the Bridge,https://www.youtube.com/results?search_query=Red+Hot+Chili+Peppers+Under+the+Bridge
Red Hot Chili Peppers,Give It Away,https://www.youtube.com/results?search_query=Red+Hot+Chili+Peppers+Give+It+Away
Red Hot Chili Peppers,Scar Tissue,https://www.youtube.com/results?search_query=Red+Hot+Chili+Peppers+Scar+Tissue
Green Day,Basket Case,https://www.youtube.com/results?search_query=Green+Day+Basket+Case
Green Day,When I Come Around,https://www.youtube.com/results?search_query=Green+Day+When+I+Come+Around
Green Day,Good Riddance (Time of Your Life),https://www.youtube.com/results?search_query=Green+Day+Good+Riddance+%28Time+of+Your+Life%29
The Offspring,Self Esteem,https://www.youtube.com/results?search_query=The+Offspring+Self+Esteem
The Offspring,Come Out and Play,https://www.youtube.com/results?search_query=The+Offspring+Come+Out+and+Play
Weezer,Buddy Holly,https://www.youtube.com/results?search_query=Weezer+Buddy+Holly
Weezer,Say It Ain't So,https://www.youtube.com/results?search_query=Weezer+Say+It+Ain%27t+So
Oasis,Wonderwall,https://www.youtube.com/results?search_query=Oasis+Wonderwall
Oasis,Don't Look Back in Anger,https://www.youtube.com/results?search_query=Oasis+Don%27t+Look+Back+in+Anger
Blur,Song 2,https://www.youtube.com/results?search_query=Blur+Song+2
Radiohead,Creep,https://www.youtube.com/results?search_query=Radiohead+Creep
Radiohead,Karma Police,https://www.youtube.com/results?search_query=Radiohead+Karma+Police
R.E.M.,Losing My Religion,https://www.youtube.com/results?search_query=R.E.M.+Losing+My+Religion
R.E.M.,Man on the Moon,https://www.youtube.com/results?search_query=R.E.M.+Man+on+the+Moon
Smashing Pumpkins,1979,https://www.youtube.com/results?search_query=Smashing+Pumpkins+1979
Smashing Pumpkins,Bullet with Butterfly Wings,https://www.youtube.com/results?search_query=Smashing+Pumpkins+Bullet+with+Butterfly+Wings
Smashing Pumpkins,Today,https://www.youtube.com/results?search_query=Smashing+Pumpkins+Today
No Doubt,Don't Speak,https://www.youtube.com/results?search_query=No+Doubt+Don%27t+Speak
No Doubt,Just a Girl,https://www.youtube.com/results?search_query=No+Doubt+Just+a+Girl
Alanis Morissette,You Oughta Know,https://www.youtube.com/results?search_query=Alanis+Morissette+You+Oughta+Know
Alanis Morissette,Ironic,https://www.youtube.com/results?search_query=Alanis+Morissette+Ironic
Alanis Morissette,Hand in My Pocket,https://www.youtube.com/results?search_query=Alanis+Morissette+Hand+in+My+Pocket
Fiona Apple,Criminal,https://www.youtube.com/results?search_query=Fiona+Apple+Criminal
Sheryl Crow,All I Wanna Do,https://www.youtube.com/results?search_query=Sheryl+Crow+All+I+Wanna+Do
Sheryl Crow,If It Makes You Happy,https://www.youtube.com/results?search_query=Sheryl+Crow+If+It+Makes+You+Happy
Counting Crows,Mr. Jones,https://www.youtube.com/results?search_query=Counting+Crows+Mr.+Jones
Hootie & the Blowfish,Only Wanna Be with You,https://www.youtube.com/results?search_query=Hootie+%26+the+Blowfish+Only+Wanna+Be+with+You
Matchbox Twenty,3 AM,https://www.youtube.com/results?search_query=Matchbox+Twenty+3+AM
Third Eye Blind,Semi-Charmed Life,https://www.youtube.com/results?search_query=Third+Eye+Blind+Semi-Charmed+Life
Goo Goo Dolls,Iris,https://www.youtube.com/results?search_query=Goo+Goo+Dolls+Iris
Goo Goo Dolls,Name,https://www.youtube.com/results?search_query=Goo+Goo+Dolls+Name
Barenaked Ladies,One Week,https://www.youtube.com/results?search_query=Barenaked+Ladies+One+Week
Semisonic,Closing Time,https://www.youtube.com/results?search_query=Semisonic+Closing+Time
Better Than Ezra,Good,https://www.youtube.com/results?search_query=Better+Than+Ezra+Good
Live,Lightning Crashes,https://www.youtube.com/results?search_query=Live+Lightning+Crashes
Bush,Glycerine,https://www.youtube.com/results?search_query=Bush+Glycerine
Collective Soul,Shine,https://www.youtube.com/results?search_query=Collective+Soul+Shine
Foo Fighters,Everlong,https://www.youtube.com/results?search_query=Foo+Fighters+Everlong
