Artist,Song Title,Youtube Link
Michael Jackson,Billie Jean,https://www.youtube.com/results?search_query=Michael+Jackson+Billie+Jean
Michael Jackson,Thriller,https://www.youtube.com/results?search_query=Michael+Jackson+Thriller
Michael Jackson,Beat It,https://www.youtube.com/results?search_query=Michael+Jackson+Beat+It
Michael Jackson,Wanna Be Startin' Somethin',https://www.youtube.com/results?search_query=Michael+Jackson+Wanna+Be+Startin%27+Somethin%27
Michael Jackson,Man in the Mirror,https://www.youtube.com/results?search_query=Michael+Jackson+Man+in+the+Mirror
Michael Jackson,Smooth Criminal,https://www.youtube.com/results?search_query=Michael+Jackson+Smooth+Criminal
Michael Jackson,Bad,https://www.youtube.com/results?search_query=Michael+Jackson+Bad
Prince,When Doves Cry,https://www.youtube.com/results?search_query=Prince+When+Doves+Cry
Prince,Purple Rain,https://www.youtube.com/results?search_query=Prince+Purple+Rain
Prince,1999,https://www.youtube.com/results?search_query=Prince+1999
Prince,Little Red Corvette,https://www.youtube.com/results?search_query=Prince+Little+Red+Corvette
Prince,Kiss,https://www.youtube.com/results?search_query=Prince+Kiss
Madonna,Like a Virgin,https://www.youtube.com/results?search_query=Madonna+Like+a+Virgin
Madonna,Material Girl,https://www.youtube.com/results?search_query=Madonna+Material+Girl
Madonna,Into the Groove,https://www.youtube.com/results?search_query=Madonna+Into+the+Groove
Madonna,Papa Don't Preach,https://www.youtube.com/results?search_query=Madonna+Papa+Don%27t+Preach
Madonna,Like a Prayer,https://www.youtube.com/results?search_query=Madonna+Like+a+Prayer
Madonna,Borderline,https://www.youtube.com/results?search_query=Madonna+Borderline
Whitney Houston,I Wanna Dance with Somebody,https://www.youtube.com/results?search_query=Whitney+Houston+I+Wanna+Dance+with+Somebody
Whitney Houston,How Will I Know,https://www.youtube.com/results?search_query=Whitney+Houston+How+Will+I+Know
Whitney Houston,Greatest Love of All,https://www.youtube.com/results?search_query=Whitney+Houston+Greatest+Love+of+All
Whitney Houston,Saving All My Love for You,https://www.youtube.com/results?search_query=Whitney+Houston+Saving+All+My+Love+for+You
Cyndi Lauper,Girls Just Want to Have Fun,https://www.youtube.com/results?search_query=Cyndi+Lauper+Girls+Just+Want+to+Have+Fun
Cyndi Lauper,Time After Time,https://www.youtube.com/results?search_query=Cyndi+Lauper+Time+After+Time
Journey,Don't Stop Believin',https://www.youtube.com/results?search_query=Journey+Don%27t+Stop+Believin%27
Journey,Separate Ways,https://www.youtube.com/results?search_query=Journey+Separate+Ways
Journey,Open Arms,https://www.youtube.com/results?search_query=Journey+Open+Arms
Bon Jovi,Livin' on a Prayer,https://www.youtube.com/results?search_query=Bon+Jovi+Livin%27+on+a+Prayer
Bon Jovi,Wanted Dead or Alive,https://www.youtube.com/results?search_query=Bon+Jovi+Wanted+Dead+or+Alive
Bon Jovi,You Give Love a Bad Name,https://www.youtube.com/results?search_query=Bon+Jovi+You+Give+Love+a+Bad+Name
Guns N' Roses,Sweet Child O' Mine,https://www.youtube.com/results?search_query=Guns+N%27+Roses+Sweet+Child+O%27+Mine
Guns N' Roses,Paradise City,https://www.youtube.com/results?search_query=Guns+N%27+Roses+Paradise+City
Def Leppard,Pour Some Sugar on Me,https://www.youtube.com/results?search_query=Def+Leppard+Pour+Some+Sugar+on+Me
Def Leppard,Photograph,https://www.youtube.com/results?search_query=Def+Leppard+Photograph
Van Halen,Jump,https://www.youtube.com/results?search_query=Van+Halen+Jump
Van Halen,Panama,https://www.youtube.com/results?search_query=Van+Halen+Panama
Duran Duran,Hungry Like the Wolf,https://www.youtube.com/results?search_query=Duran+Duran+Hungry+Like+the+Wolf
Duran Duran,Girls on Film,https://www.youtube.com/results?search_query=Duran+Duran+Girls+on+Film
Duran Duran,Rio,https://www.youtube.com/results?search_query=Duran+Duran+Rio
The Police,Every Breath You Take,https://www.youtube.com/results?search_query=The+Police+Every+Breath+You+Take
The Police,Message in a Bottle,https://www.youtube.com/results?search_query=The+Police+Message+in+a+Bottle
The Police,Roxanne,https://www.youtube.com/results?search_query=The+Police+Roxanne
Culture Club,Karma Chameleon,https://www.youtube.com/results?search_query=Culture+Club+Karma+Chameleon
Eurythmics,Sweet Dreams (Are Made of This),https://www.youtube.com/results?search_query=Eurythmics+Sweet+Dreams+%28Are+Made+of+This%29
Tears for Fears,Everybody Wants to Rule the World,https://www.youtube.com/results?search_query=Tears+for+Fears+Everybody+Wants+to+Rule+the+World
Tears for Fears,Shout,https://www.youtube.com/results?search_query=Tears+for+Fears+Shout
a-ha,Take on Me,https://www.youtube.com/results?search_query=a-ha+Take+on+Me
Depeche Mode,Just Can't Get Enough,https://www.youtube.com/results?search_query=Depeche+Mode+Just+Can%27t+Get+Enough
New Order,Blue Monday,https://www.youtube.com/results?search_query=New+Order+Blue+Monday
The Human League,Don't You Want Me,https://www.youtube.com/results?search_query=The+Human+League+Don%27t+You+Want+Me
Soft Cell,Tainted Love,https://www.youtube.com/results?search_query=Soft+Cell+Tainted+Love
Simple Minds,Don't You (Forget About Me),https://www.youtube.com/results?search_query=Simple+Minds+Don%27t+You+%28Forget+About+Me%29
Wham!,Wake Me Up Before You Go-Go,https://www.youtube.com/results?search_query=Wham%21+Wake+Me+Up+Before+You+Go-Go
George Michael,Faith,https://www.youtube.com/results?search_query=George+Michael+Faith
George Michael,Careless Whisper,https://www.youtube.com/results?search_query=George+Michael+Careless+Whisper
Phil Collins,In the Air Tonight,https://www.youtube.com/results?search_query=Phil+Collins+In+the+Air+Tonight
Phil Collins,Sussudio,https://www.youtube.com/results?search_query=Phil+Collins+Sussudio
Phil Collins,Against All Odds,https://www.youtube.com/results?search_query=Phil+Collins+Against+All+Odds
Genesis,Invisible Touch,https://www.youtube.com/results?search_query=Genesis+Invisible+Touch
Toto,Africa,https://www.youtube.com/results?search_query=Toto+Africa
Toto,Rosanna,https://www.youtube.com/results?search_query=Toto+Rosanna
